t,L,R
1764812291.6639888,195,175
1764812291.6902285,195,185
1764812291.7163365,195,185
1764812291.7424712,195,186
1764812291.7684503,194,183
1764812291.7944508,194,184
1764812291.8204215,194,183
1764812291.8464863,194,183
1764812291.8724694,194,183
1764812291.898445,194,183
1764812291.9244113,195,185
1764812291.9503827,195,186
1764812291.9763892,195,185
1764812292.0023735,196,187
1764812292.0283456,195,187
1764812292.0544474,196,188
1764812292.0804436,196,187
1764812292.1064448,197,191
1764812292.1324115,197,191
1764812292.1583838,198,193
1764812292.184431,198,194
1764812292.2105398,198,193
1764812292.236642,199,197
1764812292.262785,199,196
1764812292.288934,199,197
1764812292.315035,199,196
1764812292.3411472,199,198
1764812292.367248,200,197
1764812292.3933566,200,197
1764812292.419452,200,198
1764812292.4455469,200,197
1764812292.4717183,199,198
1764812292.4978998,200,197
1764812292.524169,199,196
1764812292.5505023,199,196
1764812292.5766666,199,197
1764812292.602827,199,197
1764812292.6289396,199,196
1764812292.6550677,199,197
1764812292.6814003,199,196
